			cm	t		distancia
71	71.954321	71	71.954321	0.014084507	1.84066014	0.71954321
71	72.396698	71	72.396698	0.014084507	1.854744647	0.72396698
71	71.818205	71	71.818205	0.014084507	1.868829154	0.71818205
70	71.494929	70	71.494929	0.014285714	1.883114869	0.71494929
70	69.334088	70	69.334088	0.014285714	1.897400583	0.69334088
70	70.167798	70	70.167798	0.014285714	1.911686297	0.70167798
70	71.511944	70	71.511944	0.014285714	1.925972012	0.71511944
69	71.80119	69	71.80119	0.014492754	1.940464765	0.7180119
69	72.396698	69	72.396698	0.014492754	1.954957519	0.72396698
69	56.947532	69	56.947532	0.014492754	1.969450272	0.56947532
69	72.82206	69	72.82206	0.014492754	1.983943026	0.7282206
69	72.805046	69	72.805046	0.014492754	1.99843578	0.72805046
69	66.322521	69	66.322521	0.014492754	2.012928533	0.66322521
68	64.638086	68	64.638086	0.014705882	2.027634416	0.64638086
68	64.638086	68	64.638086	0.014705882	2.042340298	0.64638086
68	65.063448	68	65.063448	0.014705882	2.05704618	0.65063448
68	64.229738	68	64.229738	0.014705882	2.071752063	0.64229738
68	64.229738	68	64.229738	0.014705882	2.086457945	0.64229738
68	64.331825	68	64.331825	0.014705882	2.101163827	0.64331825
67	63.787361	67	63.787361	0.014925373	2.1160892	0.63787361
67	64.212723	67	64.212723	0.014925373	2.131014574	0.64212723
67	64.6551	67	64.6551	0.014925373	2.145939947	0.646551
67	64.621071	67	64.621071	0.014925373	2.16086532	0.64621071
66	64.638086	66	64.638086	0.015151515	2.176016835	0.64638086
66	64.740173	66	64.740173	0.015151515	2.19116835	0.64740173
66	64.638086	66	64.638086	0.015151515	2.206319865	0.64638086
66	64.638086	66	64.638086	0.015151515	2.221471381	0.64638086
66	64.331825	66	64.331825	0.015151515	2.236622896	0.64331825
66	64.212723	66	64.212723	0.015151515	2.251774411	0.64212723
65	64.31481	65	64.31481	0.015384615	2.267159026	0.6431481
65	64.212723	65	64.212723	0.015384615	2.282543642	0.64212723
65	64.740173	65	64.740173	0.015384615	2.297928257	0.64740173
